Name,Website,Address,City,State,Zip,Longitude,Latitude,Music,Food,Art / Vendors,Camping,Carnival Rides,Family Friendly
Kerrclipse Music Festival,https://www.kerrvillefolkfestival.org/2024-kerrclipse,3876 Medina Hwy,Kerrville,TX,78028,-99.21899299,29.95841502,Y,Y,Y,Y,,
Thunder Wolf Ranch Eclipse Festival,https://www.thunderwolfranch.com/,1079 Country Road 4630,Kempner,TX,76539,-97.96718299,31.045176,Y,Y,Y,Y,,
Cosmic Cowboy Eclipse Festival,https://cosmiccowboyeclipsefest.com/,104 Interstate HWY 35 NE,Hillsboro,TX,,-97.096883,32.00797012,Y,Y,,,Y,
2024 Texas Eclipse at Traditions,https://texaseclipseattraditions.com/,7041 N US HWY 281,Burnet,TX,78611,-98.23071003,30.84715802,Y,Y,,Y,,Y
Eclipseboro,https://www.eclipseboro.com/events,,Hillsboro,TX,,-97.13016,32.01142,Y,Y,Y,Y,Y,Y
Texarkana Solarbration,https://www.facebook.com/events/430513378974726/,,Texarkana,TX,,-94.04825,33.42558,,,,,,
Ground Zero Music Fest,https://groundzeromusicfest.com/,2886 State Highway 16 N,Bandera,TX,,-99.104362,29.73304002,Y,Y,Y,Y,,
Burnet TX Eclipse Festival 2024,https://www.happytimesevents.com/events/2024-eclipse/#,9191 N US Highway 281,Burnet,TX,78611,-98.23111898,30.87884098,,Y,Y,Y,Y,Y
Total Eclipse Utopia,https://www.utopiafest.com/,1555 Lemond RD,Utopia,TX,78884,-99.58710204,29.63923298,Y,,Y,Y,,Y
Celest Fest Eclipse,https://www.celestfest.com/,1682 Tahuaya RD,Belton,TX,76513,-97.50466597,31.00171,Y,Y,,,,Y
TexClipse Music Festival,https://texclipsemusicfestival.com/,,Junction,TX,,-99.77142,30.4893,Y,Y,,Y,,
Parker Farm 2024 Total Eclipse Event / Star Party,https://www.facebook.com/events/871709947821355/,5982 TX-16,Fredericksburg,TX,78624,-98.93745501,30.22018399,,Y,,Y,,Y
Solar Eclipse Weekend,https://www.cantoneclipse.com/,800 Flea Market RD,Canton,TX,75103,-95.86662823,32.56315322,,,,Y,,
Solar Rodeo,https://www.visitmesquitetx.com/events/2023/solarrodeo,757 N Galloway AVE,Mesquite,TX,,-96.59985,32.77418601,Y,Y,Y,,,Y
"2024 Solar Elipse - Copperas Cove, Texas",https://copperascove.com/2024-solar-eclipse/,,Copperas Cove,TX,,-97.90363,31.12416,,,,,,
D'Hanis Eclipse Festival,https://www.facebook.com/events/237167929446838/,6387 Old US HWY 90,Hondo,TX,78861,-99.26535934,29.33194556,Y,Y,,Y,,Y
Solar Eclipse Party,https://www.exploretock.com/slatetheorywinery/event/461234/solar-eclipse-party-,1827 Pfiester RD,Fredericksburg,TX,78624,-98.95603098,30.18827098,,Y,,,,
Kerrville Eclipse Festival,https://www.kerrvilletx.gov/2042/Kerrville-Eclipse-Festival,202 Thompson Dr,Kerrville,TX,,-99.14619932,30.04589583,,Y,Y,,,Y
"Downtown Eclipse Watch Party, Le Freak",https://www.facebook.com/events/1008596210148597,200 E Ennis AVE,Ennis,TX,75119,-96.62531104,32.32913101,Y,Y,,,,Y
Balloon Festival - Fredricksburg,https://thebestoftexas.org/2024-solar-eclipse-festival-fredericksburg-texas-april-8/,8142 Old San Antonio RD,Fredericksburg,TX,78624,-98.8193634,30.14279132,Y,Y,,Y,,
Blue Lotus Winery Total Solar Eclipse,https://blue-lotus-winery.ticketleap.com/eclipse-bluelotuswinery-hye-april-8th/,8500 W HWY 290,Hye,TX,48635,-98.54187334,30.24560977,,Y,,,,
Solar Eclipse Weekend,https://downtowndallas.com/solar-eclipse-weekend/,1902 Main Street,Dallas,TX,,-96.7955917,32.7813416,,,Y,,,Y
Total Eclipse in the Park,https://www.inforney.com/local-events/?_evDiscoveryPath=/event/2119764-total-eclipse-in-the-park,700 Oakland ST,Denton,TX,76201,-97.12987151,33.2202673,,Y,,,,Y
Eclipse 2024 Viewing Party,https://www.facebook.com/photo/?fbid=785253166976218&set=pb.100064746244511.-2207520000,103 Elm ST,Forney,TX,75126,-96.47072896,32.74737201,Y,Y,,,,
The Long Center Total Eclipse Viewing Party,https://thelongcenter.org/events/total-eclipse-viewing-party/,701 W. Riverside Drive,Austin,TX,78704,-97.75120197,30.26019299,Y,Y,,,,Y
Eclipse Over Texas,https://eclipseovertexas2024.com/weekend-events/,1001 S MLK Jr. BLVD,Waco,TX,,-97.11307603,31.55669501,Y,Y,,,,
